"","AL_05_0","AL_05_1","AL_05_2","AL_05_3","AL_05_4","AL_15_0","AL_15_1","AL_15_2","AL_15_3","AL_15_4","AL_15_5"
"Aaas",8.53,9.05,8.88,9.76,9.33,8.79,9.53,7.88,9.05,7.65,8.92
"Aacs",18.39,19.75,17.74,18.84,20.14,21.6,24.41,19.49,23.43,18.15,20.79
"Aadac",0,0,0,0.02,0,0.01,0,0,0,0,0
"Aadat",0.09,0.16,0.08,0.08,0.1,0.03,0.12,0.09,0.12,0.07,0.07
"Aaed1",8.71,5.9,6.61,6.11,5.72,7.32,8.34,5.8,6.71,9.14,9.36
"Aagab",35.41,38.34,29.24,34.75,33.34,28.02,29.88,28.64,29.81,29.52,30.05
"Aak1",35.86,35.73,33,31.93,30.13,36.55,34.91,30.88,39.51,31.73,35.87
"Aamdc",28.01,40.35,37.45,33.43,40.29,20.24,20.12,23.95,27.27,21.86,23.26
"Aamp",81.16,94.15,96.13,89.01,98.98,73.51,78.55,89.46,83.35,71.46,75.16
"Aanat",0.41,0.27,0.18,0.36,0.26,0.74,0.78,1.12,0.65,0.9,0.48
"Aar2",12.05,14.57,15.39,15.05,15.91,12.72,13.46,15.21,13.16,12.81,14.43
"Aard",3.35,2.93,2.58,2.73,2.92,4.99,3.75,2.11,4.26,2.29,2.55
"Aars",39.15,38.23,41.36,36.57,39.73,42.92,38.36,37.13,41.73,37,40.2
"Aars2",7.8,8.75,8.2,10.85,8.62,11.7,9.54,8.25,11.05,7.91,10.17
"Aarsd1",40.18,48.21,49.63,45.32,49.48,36.66,40.32,42.39,41.54,40.51,41.77
"Aasdh",4.09,3.46,3.31,4.29,3.43,4.16,4.18,4.41,3.65,3.47,3.87
"Aasdhppt",15.61,14.74,14.74,13.47,14.87,12.69,10.98,12.94,11.63,13.31,14.05
"Aass",3.14,2.08,2.31,2.2,3.51,1.87,3.32,2.26,3.26,1.79,1.91
"Aatf",8.4,8.93,8.7,8.84,9.47,8.58,7.68,8.8,9.34,9.02,10.26
"Aatk",59.59,57.09,57.85,56.54,58.55,65.22,61.39,53.07,62.31,47.51,52.03
"Abat",69.87,65.13,78.63,67.58,82.75,71.69,79.4,80.86,78.99,70.02,76.04
"Abca1",6.62,4.91,7.31,6.61,7.07,5.08,6.98,6.42,6.36,5.39,5.68
"Abca12",0.06,0.03,0.03,0.01,0.02,0.23,0.23,0.04,0.16,0.15,0.16
"Abca13",0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
"Abca14",0,0,0.01,0.02,0,0,0.02,0.01,0.01,0.01,0.01
"Abca15",0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0
"Abca17",0.03,0.07,0.2,0.19,0.05,0.39,0.17,0.36,0.28,0.14,0.21
"Abca2",41.35,35.85,40.2,40.69,43.92,47.08,46.21,44.56,48.74,34.78,34.96
"Abca3",17.46,16.98,14.59,15.05,16.12,18.04,20.02,21.15,17.41,17.33,16.85
"Abca4",0.28,0.38,0.28,0.36,0.66,0.3,0.78,0.75,0.25,0.8,0.57
"Abca5",11.5,8.43,9.31,8.95,9.63,14.61,10.8,9.81,11.32,11.7,15.21
"Abca6",0.97,0.63,0.88,0.73,0.8,0.96,0.93,0.81,1.17,0.95,1.07
"Abca7",4.39,3.55,3.49,4.05,3.75,5.61,6.13,3.83,5.08,4.05,4.25
"Abca8a",4.22,2.95,3.65,2.99,4.24,4.34,3.77,5.25,4.07,2.72,2.96
"Abca8b",6.49,6.02,6.47,6.88,5.9,7.3,8.41,8.17,6.47,7.25,7.61
"Abca9",2.28,1.71,2.12,1.7,1.99,1.29,3.82,1.94,2.14,2.28,1.4
"Abcb10",11.76,10.45,9.07,10.32,9.1,11.3,9.88,8.88,10.18,8.27,8.37
"Abcb11",0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.02,0,0
"Abcb1a",6.33,4.14,4.93,6.28,5.45,6.06,8.41,5.76,6.11,5.98,5.44
"Abcb1b",1.21,0.43,0.95,1.16,0.29,1.47,1.51,1.3,1.3,1.33,1.28
"Abcb4",2.03,2.36,2.33,2.59,2.34,1.71,2.33,2.98,2.16,2.1,1.76
"Abcb6",8.83,9.07,7.51,9.71,8.29,9.24,10.03,11.57,9.32,8.57,8.79
"Abcb7",12.64,10.69,9.22,9.51,9.61,10.73,9,8.21,8.59,9,10.97
"Abcb8",17.29,30.66,24.48,27.29,30.89,26.4,28.91,21.48,38.71,16.2,24.89
